Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Crime and Punishment,Fyodor Dostoevsky,Constance Garnett (Translator),9780553211757,paperback,read,2011/04/09,"","",1,"",,,,,,,4.0,,"",,"",No
Breaking Dawn,Stephenie Meyer,"",9780316032834,digital,read,2011/06/25,"","",1,"",,,,,,,2.0,,"",,"",Yes
Katheryn Howard: The Scandalous Queen,Alison Weir,"",9781101966600,hardcover,read,2020/01/29,2020/05/19,2020/05/19,2,"",,,,,,,5.0,,"",,"",Yes
Gates of Paradise,V.C. Andrews,"",9780671729431,paperback,read,2013/10/07,"","",1,"",,,,,,,2.0,,"",,"",No
Charlotte's Web,E.B. White,Garth Williams,9780439701877,paperback,read,2013/10/07,"","",1,"",,,,,,,4.0,,"",,"",Yes
Gramma,Stephen King,Frances Sternhagen (Narrator),"",audio,read,2022/04/11,2022/04/10,2022/04/10,1,"",,,,,,,5.0,,"",,"",No
A Feast for Crows,George R.R. Martin,"",055358202X,paperback,read,2014/06/30,2016/05/21,2016/05/21,2,"",,,,,,,5.0,,"",,"",Yes
Serial #8,Terry Moore,"",,paperback,read,2021/11/29,2021/11/23,2021/11/23,1,"",,,,,,,5.0,,"",,"",Yes
Feed,Mira Grant,"",9780316122467,digital,read,2015/01/30,2015/01/31,2015/01/31,3,"",,,,,,,4.0,,"",,"",Yes
Eclipse,Stephenie Meyer,"",9780316160209,hardcover,read,2011/06/25,"","",1,"",,,,,,,2.0,,"",,"",No
Serena,Ron Rash,"",9780061470851,hardcover,read,2014/09/14,2014/10/05,2014/10/05,2,"",,,,,,,5.0,,"",,"",Yes
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,"","",paperback,read,2011/04/09,"","",4,"",,,,,,,4.0,,"",,"",Yes
The Cabin in the Woods: The Official Movie Novelization,Tim Lebbon,"","",digital,read,2016/11/22,2016/11/23,2016/11/23,2,"",,,,,,,4.0,,"",,"",Yes
The Prince,Kiera Cass,"",9780062248169,digital,read,2017/09/21,"","",1,"",,,,,,,2.0,,"",,"",No
Julie of the Wolves,Jean Craighead George,John Schoenherr (Illustrator),9780064400589,paperback,read,2017/09/22,"","",2,"",,,,,,,5.0,,"",,"",Yes
